Nombre	Xmin	Xmax	Ymin	Ymax	Zmin	Zmax
C25-PLM-2-4-01-CO	-13560.0	10700.0	-14200.0	14200.0	10000.0	14900.0
C25-PLM-2-4-01-E1	10700.0	34050.0	-14200.0	-6000.0	10000.0	14900.0
C25-PLM-2-4-01-N1	30280.0	34050.0	-6000.0	10700.0	10000.0	14900.0
C25-PLM-2-4-01-N2	34050.0	37795.0	-3475.0	3475.0	10000.0	15050.0
C25-PLM-2-4-01-O1	10700.0	34050.0	10700.0	14200.0	10000.0	14900.0
C25-PLM-2-4-02	8600.0	16850.0	-27650.0	-14500.0	10000.0	14900.0
C25-PLM-2-4-03	34350.0	34350.0	3775.0	6555.0	10000.0	15050.0
C25-PLM-2-4-04	17150.0	25350.0	-25200.0	-14500.0	10000.0	14900.0
C25-PLM-2-4-05	17150.0	36750.0	14500.0	27500.0	10000.0	14900.0
C25-PLM-2-4-06	25650.0	36750.0	-25200.0	-14500.0	10000.0	14900.0
C25-PLM-2-4-07	11175.0	13375.0	6000.0	10000.0	10000.0	14500.0
C25-PLM-2-4-09	13775.0	16025.0	6000.0	10000.0	10000.0	14500.0
C25-PLM-2-4-10	-17927.11122	-17927.11122	3675.0	8000.0	10000.0	15050.0
C25-PLM-2-4-11	16525.0	18775.0	6000.0	10000.0	10000.0	14500.0
C25-PLM-2-4-12	-17548.72275	-17548.72275	-8000.0	-3675.0	10000.0	15050.0
C25-PLM-2-4-13	19275.0	21525.0	6000.0	10000.0	10000.0	14500.0
C25-PLM-2-4-14	34350.0	34350.0	-8675.0	-3775.0	10000.0	15050.0
C25-PLM-2-4-15	22025.0	24275.0	6000.0	10000.0	10000.0	14500.0
C25-PLM-2-4-17	24775.0	26980.0	6000.0	10000.0	10000.0	14500.0
C25-PLM-2-4-19	27380.0	29580.0	6000.0	10000.0	10000.0	14500.0
C25-PLM-2-5-01	-13560.0	34050.0	-14200.0	14200.0	14700.0	28000.0
C25-PLM-2-5-02	34350.0	34350.0	-8670.0	-3775.0	15200.0	20850.0
C25-PLM-2-5-03	34350.0	34350.0	3775.0	6555.0	15200.0	20850.0
C25-PLM-2-5-04	-17546.64107	-17546.64107	-8000.0	-3675.0	15200.0	20850.0
C25-PLM-2-5-05	-17924.10505	-17924.10505	3675.0	8000.0	15200.0	20850.0
C25-PLM-2-5-06	34350.0	37795.0	-3475.0	3475.0	15200.0	20700.0
C25-PLM-2-5-07	-13560.0	-3560.0	-14200.0	-6790.0	15200.0	21120.0
C25-PLM-2-5-09	11075.0	13575.0	9500.0	11300.0	15200.0	16700.0
C25-PLM-2-5-11	13775.0	16325.0	9500.0	11300.0	15200.0	16700.0
C25-PLM-2-5-13	19280.0	21830.0	9500.0	11300.0	15200.0	16700.0
C25-PLM-2-5-15	22030.0	24580.0	9500.0	11300.0	15200.0	16700.0
C25-PLM-2-5-17	24780.0	27330.0	9500.0	11300.0	15200.0	16700.0
C25-PLM-2-5-19	27530.0	30080.0	9500.0	11300.0	15200.0	16700.0
C25-PLM-4-1-01	-36067.0	-28109.5	-14200.0	-10385.0	-6700.0	-150.0
C25-PLM-4-1-06	-32965.0	-24953.0	6285.0	14200.0	-6700.0	-150.0
C25-PLM-4-1-07	-28068.0	-19938.0	-1247.0	2876.0	-5800.0	-150.0
C25-PLM-4-1-08	-27954.5	-23244.5	-14200.0	-6287.5	-6700.0	-150.0
C25-PLM-4-1-09	-36065.0	-33115.0	4525.0	14200.0	-6700.0	-150.0
C25-PLM-4-1-10	-36065.0	-29852.5	-2790.0	4525.0	-6700.0	-150.0
C25-PLM-4-1-11	-36065.0	-28104.5	-10235.0	-6425.0	-6700.0	-150.0
C25-PLM-4-1-12	-35800.0	-17300.0	-17200.0	-14450.0	-6700.0	-500.0
C25-PLM-4-1-14	-41652.5	-39652.5	1350.0	3352.5	-5800.0	-300.0
C25-PLM-4-2-01	-23922.5	-19937.5	9370.0	14200.0	0.0	5050.0
C25-PLM-4-2-02	-23922.5	-19937.5	5677.5	9210.0	0.0	5050.0
C25-PLM-4-2-03	-23922.5	-19937.5	-9210.0	-5677.5	0.0	5050.0
C25-PLM-4-2-04	-23861.5	-19937.5	-14200.0	-9370.0	0.0	5050.0
C25-PLM-4-2-05	-36065.0	-24077.5	5675.0	14200.0	0.0	5050.0
C25-PLM-4-2-06	-35850.0	-20150.0	-5525.0	5525.0	0.0	5050.0
C25-PLM-4-2-07	-27925.0	-24077.5	-14200.0	-5675.0	0.0	5050.0
C25-PLM-4-2-08	-31925.0	-28075.0	-14200.0	-5675.0	0.0	5050.0
C25-PLM-4-2-09	-36065.0	-32075.0	-14200.0	-5675.0	0.0	5050.0
C25-PLM-4-2-10	-46401.0	-33556.0	-9075.0	9215.0	0.0	5050.0
C25-PLM-4-2-11[1]	-40690.0	-36100.0	19357.5	23167.0	0.0	5050.0
C25-PLM-4-2-12	-40690.0	-36100.0	17450.0	19357.5	0.0	5050.0
C25-PLM-4-2-13	-44250.0	-38915.0	-14200.0	-8535.0	0.0	5200.0
C25-PLM-4-2-14	-44250.0	-38635.0	8535.0	14200.0	0.0	5050.0
C25-PLM-4-2-16	-40690.0	-36100.0	-23165.0	-17450.0	0.0	5050.0
C25-PLM-4-2-17	-38485.0	-36215.0	8385.0	17450.0	0.0	5050.0
C25-PLM-4-2-18	-46651.0	-39502.0	-4450.0	4450.0	0.0	9850.0
C25-PLM-4-2-19	-38765.0	-36215.0	-14200.0	-8385.0	0.0	5050.0
C25-PLM-4-3-01	-23925.0	-19911.5	9280.0	14200.0	5200.0	9850.0
C25-PLM-4-3-02	-23925.0	-19911.5	5675.0	9120.0	5200.0	9850.0
C25-PLM-4-3-03	-23942.0	-19931.5	-9150.0	-5675.0	5200.0	9850.0
C25-PLM-4-3-04	-23866.5	-19931.5	-14200.0	-9310.0	5200.0	9850.0
C25-PLM-4-3-05	-36065.0	-24075.0	5675.0	14200.0	5200.0	9850.0
C25-PLM-4-3-06	-35850.0	-20150.0	-5525.0	5525.0	5200.0	9850.0
C25-PLM-4-3-07	-27925.0	-24077.5	-14200.0	-5675.0	5200.0	9850.0
C25-PLM-4-3-08	-31925.0	-28075.0	-8700.0	-5675.0	5200.0	9850.0
C25-PLM-4-3-09	-31925.0	-28075.0	-14200.0	-8700.0	5200.0	9850.0
C25-PLM-4-3-10	-36065.0	-32075.0	-14200.0	-5675.0	5200.0	9850.0
C25-PLM-4-3-11	-38767.0	-36215.0	-17450.0	17448.0	5200.0	9850.0
C25-PLM-4-3-12	-40690.0	-36102.0	19358.0	23167.0	5200.0	9850.0
C25-PLM-4-3-13	-40690.0	-36102.0	17448.0	19358.0	5200.0	9850.0
C25-PLM-4-3-14	-44250.0	-38635.0	9275.0	14198.0	5200.0	9850.0
C25-PLM-4-3-15	-46402.0	-38635.0	4525.0	9125.0	5200.0	9850.0
C25-PLM-4-3-16	-46402.0	-38635.0	-9050.0	-4525.0	5200.0	9850.0
C25-PLM-4-3-17	-44250.0	-38917.0	-14200.0	-9200.0	5260.0	9850.0
C25-PLM-4-3-18	-40690.0	-36100.0	-19355.0	-17450.0	5200.0	9850.0
C25-PLM-4-3-19	-40690.0	-36100.0	-23165.0	-19355.0	5200.0	9850.0
C25-PLM-4-3-21	-36065.0	-33677.0	5675.0	7675.0	5200.0	9850.0
C25-PLM-4-4-01	-45263.11635	-45263.11635	14450.0	17200.0	10000.0	14550.0
C25-PLM-4-4-02	-45024.52252	-45024.52252	-17200.0	-14450.0	10000.0	14550.0
C25-PLM-4-4-03	-15760.0	-13860.0	-3475.0	3475.0	10000.0	13800.0
C25-PLM-X-4-salidatecho	-8350.0	8400.0	-31330.17177	-31330.17177	10000.0	14900.0
